api,fetch_time,station,head_sign,projected_arrival,last_updated,door_close,scheduled_departure
MRAZZA,2023-04-30T18:16:56.463252-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T18:38:59-04:00,2023-04-30T18:16:52-04:00,2023-04-30T18:40:29-04:00,2023-04-30T18:39:00-04:00
MRAZZA,2023-04-30T18:17:16.468017-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T18:38:59-04:00,2023-04-30T18:17:12-04:00,2023-04-30T18:40:29-04:00,2023-04-30T18:39:00-04:00
MRAZZA,2023-04-30T18:17:36.478919-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T18:38:59-04:00,2023-04-30T18:17:32-04:00,2023-04-30T18:40:29-04:00,2023-04-30T18:39:00-04:00
MRAZZA,2023-04-30T18:17:56.497079-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T18:38:59-04:00,2023-04-30T18:17:52-04:00,2023-04-30T18:40:29-04:00,2023-04-30T18:39:00-04:00
OFFICIAL,2023-04-30T18:17:56.798992-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T18:39:00.261257-04:00,2023-04-30T18:16:58.261257-04:00,2023-04-30T18:40:29-04:00,2023-04-30T18:39:00-04:00
MRAZZA,2023-04-30T18:18:16.523449-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T18:38:59-04:00,2023-04-30T18:18:12-04:00,2023-04-30T18:40:29-04:00,2023-04-30T18:39:00-04:00
OFFICIAL,2023-04-30T18:18:16.710729-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T18:39:00.316804-04:00,2023-04-30T18:16:53.316804-04:00,2023-04-30T18:40:29-04:00,2023-04-30T18:39:00-04:00
MRAZZA,2023-04-30T18:18:36.847922-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T18:38:59-04:00,2023-04-30T18:18:32-04:00,2023-04-30T18:40:29-04:00,2023-04-30T18:39:00-04:00
OFFICIAL,2023-04-30T18:18:37.037803-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T18:39:00.316804-04:00,2023-04-30T18:16:53.316804-04:00,2023-04-30T18:40:29-04:00,2023-04-30T18:39:00-04:00
MRAZZA,2023-04-30T18:18:56.562601-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T18:38:59-04:00,2023-04-30T18:18:52-04:00,2023-04-30T18:40:29-04:00,2023-04-30T18:39:00-04:00
OFFICIAL,2023-04-30T18:18:56.754930-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T18:38:59.495073-04:00,2023-04-30T18:17:53.495073-04:00,2023-04-30T18:40:29-04:00,2023-04-30T18:39:00-04:00
MRAZZA,2023-04-30T18:19:16.573602-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T18:38:59-04:00,2023-04-30T18:19:12-04:00,2023-04-30T18:40:29-04:00,2023-04-30T18:39:00-04:00
OFFICIAL,2023-04-30T18:19:16.800577-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T18:38:59.495073-04:00,2023-04-30T18:17:53.495073-04:00,2023-04-30T18:40:29-04:00,2023-04-30T18:39:00-04:00
MRAZZA,2023-04-30T18:19:36.581651-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T18:38:59-04:00,2023-04-30T18:19:32-04:00,2023-04-30T18:40:29-04:00,2023-04-30T18:39:00-04:00
OFFICIAL,2023-04-30T18:19:36.769901-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T18:39:00.407580-04:00,2023-04-30T18:19:08.407580-04:00,2023-04-30T18:40:29-04:00,2023-04-30T18:39:00-04:00
MRAZZA,2023-04-30T18:19:56.593274-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T18:38:59-04:00,2023-04-30T18:19:52-04:00,2023-04-30T18:40:29-04:00,2023-04-30T18:39:00-04:00
OFFICIAL,2023-04-30T18:19:56.830881-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T18:39:00.439697-04:00,2023-04-30T18:18:53.439697-04:00,2023-04-30T18:40:29-04:00,2023-04-30T18:39:00-04:00
MRAZZA,2023-04-30T18:20:16.615566-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T18:38:59-04:00,2023-04-30T18:20:12-04:00,2023-04-30T18:40:29-04:00,2023-04-30T18:39:00-04:00
OFFICIAL,2023-04-30T18:20:16.866668-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T18:39:00.439697-04:00,2023-04-30T18:18:53.439697-04:00,2023-04-30T18:40:29-04:00,2023-04-30T18:39:00-04:00
MRAZZA,2023-04-30T18:20:36.633843-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T18:38:59-04:00,2023-04-30T18:20:32-04:00,2023-04-30T18:40:29-04:00,2023-04-30T18:39:00-04:00
OFFICIAL,2023-04-30T18:20:36.865715-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T18:38:59.507478-04:00,2023-04-30T18:19:23.507478-04:00,2023-04-30T18:40:29-04:00,2023-04-30T18:39:00-04:00
MRAZZA,2023-04-30T18:20:56.665673-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T18:38:59-04:00,2023-04-30T18:20:52-04:00,2023-04-30T18:40:29-04:00,2023-04-30T18:39:00-04:00
OFFICIAL,2023-04-30T18:20:56.858914-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T18:38:59.591192-04:00,2023-04-30T18:19:38.591192-04:00,2023-04-30T18:40:29-04:00,2023-04-30T18:39:00-04:00
