api,fetch_time,station,head_sign,projected_arrival,last_updated,door_close,scheduled_departure
MRAZZA,2023-04-09T14:53:57.265596-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-09T15:15:00-04:00,2023-04-09T14:53:52-04:00,2023-04-09T15:15:38-04:00,2023-04-09T15:15:00-04:00
MRAZZA,2023-04-09T14:54:17.285027-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-09T15:15:00-04:00,2023-04-09T14:54:12-04:00,2023-04-09T15:15:38-04:00,2023-04-09T15:15:00-04:00
MRAZZA,2023-04-09T14:54:37.279061-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-09T15:15:00-04:00,2023-04-09T14:54:32-04:00,2023-04-09T15:15:38-04:00,2023-04-09T15:15:00-04:00
MRAZZA,2023-04-09T14:54:58.941183-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-09T15:15:00-04:00,2023-04-09T14:54:57-04:00,2023-04-09T15:15:38-04:00,2023-04-09T15:15:00-04:00
MRAZZA,2023-04-09T14:55:17.339390-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-09T15:15:00-04:00,2023-04-09T14:55:12-04:00,2023-04-09T15:15:38-04:00,2023-04-09T15:15:00-04:00
OFFICIAL,2023-04-09T14:55:17.349247-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-09T15:15:00.050847-04:00,2023-04-09T14:54:42.050847-04:00,2023-04-09T15:15:38-04:00,2023-04-09T15:15:00-04:00
MRAZZA,2023-04-09T14:55:37.355271-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-09T15:15:00-04:00,2023-04-09T14:55:32-04:00,2023-04-09T15:15:38-04:00,2023-04-09T15:15:00-04:00
OFFICIAL,2023-04-09T14:55:37.365663-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-09T15:14:59.949324-04:00,2023-04-09T14:54:36.949324-04:00,2023-04-09T15:15:38-04:00,2023-04-09T15:15:00-04:00
MRAZZA,2023-04-09T14:55:57.371116-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-09T15:15:00-04:00,2023-04-09T14:55:52-04:00,2023-04-09T15:15:38-04:00,2023-04-09T15:15:00-04:00
OFFICIAL,2023-04-09T14:55:57.380718-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-09T15:14:59.952518-04:00,2023-04-09T14:54:51.952518-04:00,2023-04-09T15:15:38-04:00,2023-04-09T15:15:00-04:00
MRAZZA,2023-04-09T14:56:17.390262-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-09T15:15:00-04:00,2023-04-09T14:56:12-04:00,2023-04-09T15:15:38-04:00,2023-04-09T15:15:00-04:00
OFFICIAL,2023-04-09T14:56:17.400790-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-09T15:14:59.977710-04:00,2023-04-09T14:55:06.977710-04:00,2023-04-09T15:15:38-04:00,2023-04-09T15:15:00-04:00
MRAZZA,2023-04-09T14:56:37.403069-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-09T15:15:00-04:00,2023-04-09T14:56:32-04:00,2023-04-09T15:15:38-04:00,2023-04-09T15:15:00-04:00
OFFICIAL,2023-04-09T14:56:37.413190-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-09T15:15:00.016739-04:00,2023-04-09T14:55:32.016739-04:00,2023-04-09T15:15:38-04:00,2023-04-09T15:15:00-04:00
MRAZZA,2023-04-09T14:56:57.415027-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-09T15:15:00-04:00,2023-04-09T14:56:52-04:00,2023-04-09T15:15:38-04:00,2023-04-09T15:15:00-04:00
OFFICIAL,2023-04-09T14:56:57.424588-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-09T15:15:00.067516-04:00,2023-04-09T14:56:12.067516-04:00,2023-04-09T15:15:38-04:00,2023-04-09T15:15:00-04:00
MRAZZA,2023-04-09T14:57:19.304842-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-09T15:15:00-04:00,2023-04-09T14:57:17-04:00,2023-04-09T15:15:38-04:00,2023-04-09T15:15:00-04:00
OFFICIAL,2023-04-09T14:57:19.319168-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-09T15:15:00.080296-04:00,2023-04-09T14:55:57.080296-04:00,2023-04-09T15:15:38-04:00,2023-04-09T15:15:00-04:00
MRAZZA,2023-04-09T14:57:37.757168-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-09T15:15:00-04:00,2023-04-09T14:57:32-04:00,2023-04-09T15:15:38-04:00,2023-04-09T15:15:00-04:00
OFFICIAL,2023-04-09T14:57:37.766674-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-09T15:15:00.080296-04:00,2023-04-09T14:55:57.080296-04:00,2023-04-09T15:15:38-04:00,2023-04-09T15:15:00-04:00
MRAZZA,2023-04-09T14:57:57.910569-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-09T15:15:00-04:00,2023-04-09T14:57:52-04:00,2023-04-09T15:15:38-04:00,2023-04-09T15:15:00-04:00
